GUID,PROVID,PROVNAME,SDNAME,GEOTYPE,TEXTTHEME,TEXTID,HIER,INDENT,TEXTNAME,TEXTDATA,MDATA,FDATA
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12000,4.1.1,0,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,650,325,325
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12001,4.1.1.1,1,  Number of total income recipients aged 15 years and over in private households - 100% data,630,315,310
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12002,4.1.1.1.1,2,    Median total income in 2015 among recipients ($),28576,42112,20885
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12003,4.1.1.2,1,  Number of after-tax income recipients aged 15 years and over in private households - 100% data,630,315,315
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12004,4.1.1.2.1,2,    Median after-tax income in 2015 among recipients ($),26048,36992,20032
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12005,4.1.1.3,1,  Number of market income recipients aged 15 years and over in private households - 100% data,520,280,240
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12006,4.1.1.3.1,2,    Median market income in 2015 among recipients ($),24533,38400,15904
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12007,4.1.1.4,1,  Number of government transfers recipients aged 15 years and over in private households - 100% data,525,265,255
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12008,4.1.1.4.1,2,    Median government transfers in 2015 among recipients ($),10805,11000,9696
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12009,4.1.1.5,1,  Number of employment income recipients aged 15 years and over in private households - 100% data,450,255,195
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12010,4.1.1.5.1,2,    Median employment income in 2015 among recipients ($),26720,40896,18112
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12011,4.1.2,0,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,670,350,320
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12012,4.1.2.1,1,  Number of total income recipients aged 15 years and over in private households - 25% sample data,645,335,305
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12013,4.1.2.1.1,2,    Average total income in 2015 among recipients ($),37574,45634,28697
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12014,4.1.2.2,1,  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,640,335,310
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12015,4.1.2.2.1,2,    Average after-tax income in 2015 among recipients ($),31293,36457,25605
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12016,4.1.2.3,1,  Number of market income recipients aged 15 years and over in private households - 25% sample data,510,285,225
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12017,4.1.2.3.1,2,    Average market income in 2015 among recipients ($),36375,44998,25741
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12018,4.1.2.4,1,  Number of government transfers recipients aged 15 years and over in private households - 25% sample data,540,280,255
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12019,4.1.2.4.1,2,    Average government transfers in 2015 among recipients ($),10385,9625,11211
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12020,4.1.2.5,1,  Number of employment income recipients aged 15 years and over in private households - 25% sample data,470,270,200
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12021,4.1.2.5.1,2,    Average employment income in 2015 among recipients ($),36738,44204,26769
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12022,4.1.3,0,Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,670,350,320
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12023,4.1.3.1,1,  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data,160,95,65
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12024,4.1.3.1.1,2,    Median employment income in 2015 for full-year full-time workers ($),35446,41523,35431
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12025,4.1.3.1.2,2,    Average employment income in 2015 for full-year full-time workers ($),43184,42972,43502
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12026,4.1.4,0,Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data,100,100,100
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12027,4.1.4.1,1,  Market income (%),77.1,82.2,64.6
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12028,4.1.4.1.1,2,    Employment income (%),71.3,76.4,57.5
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12029,4.1.4.2,1,  Government transfers (%),22.6,16.7,35.3
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12030,4.1.5,0,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,650,330,325
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12031,4.1.5.1,1,  Without total income,25,10,10
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12032,4.1.5.2,1,  With total income,625,315,310
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12033,4.1.5.3,1,  Percentage with total income,96.2,95.5,95.4
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12034,4.1.5.3.1,2,"    Under $10,000 (including loss)",85,25,60
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12035,4.1.5.3.2,2,"    $10,000 to $19,999",120,35,85
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12036,4.1.5.3.3,2,"    $20,000 to $29,999",125,40,80
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12037,4.1.5.3.4,2,"    $30,000 to $39,999",95,45,45
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12038,4.1.5.3.5,2,"    $40,000 to $49,999",55,35,15
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12039,4.1.5.3.6,2,"    $50,000 to $59,999",30,30,10
2016A00051201004,12,Nova Scotia,Clark's Harbour,Town,Income,12040,4.1.5.3.7,2,"    $60,000 to $69,999",25,20,5
