Postal_Code,Subdivision_Name
P0H 1E0,Bonfield
P1B 1N6,North Bay
P0H 2G0,N/A
P0H 2M0,West Nipissing / Nipissing Ouest
P0H 1M0,West Nipissing / Nipissing Ouest
P0M 2W0,French River / Rivière des Français
P0M 2N0,West Nipissing / Nipissing Ouest
P0M 1A0,French River / Rivière des Français
P0H 1V0,Papineau-Cameron
P0H 1E0,Bonfield
P1B 1N6,North Bay
P0H 2G0,N/A
P0H 2M0,West Nipissing / Nipissing Ouest
P0H 1M0,West Nipissing / Nipissing Ouest
P0M 2W0,French River / Rivière des Français
P0M 2N0,West Nipissing / Nipissing Ouest
P0M 1A0,French River / Rivière des Français
P0L 1N0,Hearst
P4N 2S9,Timmins
P0L 1P0,"Cochrane, Unorganized, North Part"
P1B 4V6,North Bay
P0H 1V0,Papineau-Cameron
P0H 1E0,Bonfield
P1B 4A2,North Bay
P2B 1S1,West Nipissing / Nipissing Ouest
P0H 2M0,West Nipissing / Nipissing Ouest
P0H 1M0,West Nipissing / Nipissing Ouest
P0M 2W0,French River / Rivière des Français
P0M 2N0,West Nipissing / Nipissing Ouest
P0M 1A0,French River / Rivière des Français
P5N 1A6,Kapuskasing
P0L 1N0,Hearst
P4N 8H7,Timmins
P0L 1T0,Mattice-Val Côté
P0H 2G0,N/A
E1G 2T5,Moncton
E1C 8R9,Moncton
E6J 1A1,McAdam
E2M 3N1,Saint John
E7M 2N9,Woodstock
E1B 5R6,Riverview
E1E 3Y3,Moncton
E1V 3V4,Miramichi
E2L 1G5,Saint John
E1V 3V4,Miramichi
E8C 2X2,Dalhousie
E9B 1P1,Blackville
E4Z 4L9,Petitcodiac
E5N 6C3,Hampton
E3B 5E3,Kingsclear
E2V 2R6,Burton
E9G 4C8,Alnwick
E1C 5R6,Moncton
E3A 2W3,Fredericton
E4E 7H8,Sussex
E1C 5W1,Moncton
E4W 1V9,Rexton
E2J 1X7,Saint John
E5L 1R5,Fredericton Junction
E2E 5Y8,Rothesay
E3B 5R6,Fredericton
E2L 4L2,Saint John
E5C 3P1,St. George
E2L 1G5,Saint John
R2H 0G4,Winnipeg
R0G 1Y0,Ritchot
R0H 0H0,Cartier
R0G 0A2,Macdonald
R0A 0T0,Taché
R0A 0W0,La Broquerie
R0J 1A0,McCreary
R0G 2B0,Montcalm
R5K 0T1,N/A
R0G 1Z0,Dufferin
R2H 0G4,Winnipeg
R5H 1J3,Ste. Anne
R5A 1A1,Ritchot
R0G 1Y0,Ritchot
R5H 1J3,Ste. Anne
 MB R2H,N/A
R0G 1Z0,Dufferin
R0E 1V0,Alexander
R0G 2B0,Montcalm
"ste, MB",N/A
R0G 1M0,Lorne
R0A 1T0,De Salaberry
R2J 2M6,Winnipeg
R0A 1V0,De Salaberry
R5H 1J3,Ste. Anne
R0C 2S0,Woodlands
R2M 5S5,Winnipeg
 Pierre,N/A
V8A 2K2,Powell River
V8A 3B5,Powell River
V0N 3K0,Powell River D
V0N 1G0,Bowen Island
V8A 2K2,Powell River
V0R 1S0,Courtenay
V6E 4A6,Vancouver
V5C 2K1,Burnaby
V6E 4A6,Vancouver
V0N 1B4,Whistler
V0N 2L0,Pemberton
V8B 0G2,Squamish
V5C 2K1,Burnaby
V6K 2E3,Vancouver
V6M 2A4,Vancouver
V3N 3B5,Burnaby
V3N 3B5,Burnaby
V3N 3B5,Burnaby
V1Y 6P3,Kelowna
V1X 2Z3,Kelowna
V4T 2H7,West Kelowna
V1Y 8E7,Kelowna
V1Y 8M1,Kelowna
V4V 2L9,Lake Country
V1T 9G8,Vernon
V1V 3C4,Kelowna
V1Y 6P3,Kelowna
V0H 1T0,Kootenay Boundary E
V0H 1R0,Okanagan-Similkameen D
V0H 1V2,Osoyoos
V9W 2P8,Campbell River
V9W 8C9,Campbell River
V9W 1C4,Campbell River
V9W 1C4,Campbell River
V5V 3C7,Vancouver
V5Z 2X8,Vancouver
V5T 4G5,Vancouver
V5C 5R3,Burnaby
