SERVUS CREDIT UNION LTD,131
MERIDIAN CREDIT UNION,117
CENTRAL 1 CREDIT UNION,117
AFFINITY CREDIT UNION 2013,97
VANCOUVER CITY SAVINGS CREDIT UNION,84
COAST CAPITAL SAVINGS FEDERAL CU,82
CONEXUS CREDIT UNION,75
CREDIT UNION CENTRAL ALBERTA LTD,64
CONNECT FIRST CREDIT UNION,53
FIRSTONTARIO CR. UN. LTD,46
LIBRO CREDIT UNION LIMITED,45
INNOVATION CREDIT UNION,43
GULF & FRASER FISHERMEN'S CR UNION,42
COASTAL COMMUNITY CREDIT UNION,36
ENVISION FINANCIAL A DIVISION,33
ALTERNA SAVINGS AND CREDIT UNION LTD,30
ASSINIBOINE CREDIT UNION,29
NORTHERN CREDIT UNION LTD,28
CAISSE POPULAIRE GROUPE FINANCIER,27
TANDIA FINANCIAL CREDIT UNION,24
KAWARTHA CREDIT UNION LIMITED,23
PROSPERA CREDIT UNION,23
FUSION CREDIT UNION,23
SUNOVA CREDIT UNION,23
VALLEY FIRST A DIVISION,22
INTERIOR SAVINGS CREDIT UNION,22
VISION CREDIT UNION,22
WESTMINSTER SAVINGS CREDIT UNION,21
MERIDIAN CREDIT UNION LIMITED,20
EAST COAST CREDIT UNION,20
ISLAND SAVINGS A DIVISION,19
CORNERSTONE CREDIT UNION,17
RAPPORT CREDIT UNION,17
BLUESHORE FINANCIAL CREDIT UNION,17
CONNECT FIRST CREDIT UNION LTD.,16
SUNRISE CREDIT UNION,16
ACCESS CREDIT UNION LIMITED,15
CAMBRIAN CREDIT UNION,15
KOOTENAY SAVINGS CREDIT UNION,14
INTEGRIS CREDIT UNION,14
PRAIRIE CENTRE CREDIT UNION,14
PACE SAVINGS AND CREDIT UNION LTD,14
YOUR CREDIT UNION LIMITED,13
WINDSOR FAMILY CREDIT UNION LTD,13
FIRST ONTARIO CREDIT UNION LIMITED,13
WESTOBA CREDIT UNION LIMITED,13
MAINSTREET CREDIT UNION LIMITED,13
PLAINSVIEW CREDIT UNION,12
KINDRED CREDIT UNION LIMITED,12
SYNERGY CREDIT UNION LTD,12
NOVENTIS CREDIT UNION,12
ENCOMPASS CREDIT UNION LTD.,12
PENFINANCIAL CREDIT UNION LTD,11
1ST CHOICE SAVINGS & CREDIT UNION LT,11
CREDIT UNION CENTRAL ALBERTA LIMITED,11
NORTHERN CREDIT UNION LIMITED,10
MOTOR CITY COMMUNITY CREDIT UN LTD.,9
DIAMOND NORTH CREDIT UNION,9
SUDBURY CREDIT UNION LIMITED,9
C.P. CANADIENNE ITALIENNE,8
STRIDE CREDIT UNION,8
COMMUNITY SAVINGS CREDIT UNION,8
KHALSA CREDIT UNION,7
WESTOBA CREDIT UNION,7
ABCU Credit Union LTD.,7
VANTAGEONE CREDIT UNION,7
YOUR NEIGHBOURHOOD CREDIT UNION,7
ALDERGROVE CREDIT UNION,7
NORTH PEACE SAVINGS & CREDIT UNION,6
ITALIAN CANADIAN SAVINGS & CR UN,6
HORIZON CREDIT UNION,6
ASSINIBOINE CREDIT UNION LIMITED,6
Comtech Fire Credit Union Limited,6
CROSSROADS CREDIT UNION,6
Connect First Credit Union,6
BOW VALLEY CREDIT UNION LTD,6
CREDIT UNION ATLANTIC,6
FIRST CREDIT UNION,6
CASERA CREDIT UNION,6
NORTHERN SAVINGS CREDIT UNION,6
CROSSTOWN CIVIC CREDIT UNION,6
QUINTE FIRST CREDIT UNION LIMITED,5
L'ALLIANCE DES C P DE L'ONTARIO LTEE,5
THE POLICE CR UN,5
CARPATHIA CREDIT UNION,5
COPPERFIN CREDIT UNION LTD,5
SUNSHINE COAST CREDIT UNION,5
SOUTHWEST REGIONAL CR UN,5
ENTEGRA CREDIT UNION,5
BAYVIEW CREDIT UNION LTD,5
CONCENTRA FINANCIAL,5
ATLANTIC CENTRAL,5
SALMON ARM SAVINGS AND CREDIT UNION,5
MOMENTUM CREDIT UNION LTD,5
CYPRESS CREDIT UNION LIMITED,5
LAKE VIEW CREDIT UNION,5
LUMINUS FINANCIAL SERVICE &CR UN LTD,5
CAISSE POPULAIRE LA VALLEE LTEE,5
VALLEY CREDIT UNION,5
Copperfin Credit Union Limited,5
GREATER VANCOUVER COMMUNITY CR UN,5
COASTAL FINANCIAL CREDIT UNION LTD,5
LAKELAND CREDIT UNION LTD,5
RADIUS CREDIT UNION LTD,4
Northern Credit Union Ltd,4
EAST KOOTENAY COMMUNITY CREDIT UNION,4
BELGIAN-ALLIANCE CREDIT UNION,4
GANARASKA CREDIT UNION LIMITED,4
BULKLEY VALLEY CREDIT UNION,4
CAISSE POPULAIRE RESTIGOUCHE E. LTEE,4
CAISSE POPULAIRE KENT-NORD LTEE,4
WILLIAMS LAKE AND DISTRICT CREDIT UN,4
EAGLE RIVER CREDIT UNION LTD.,4
CAISSE POPULAIRE KENT-BEAUSEJOUR LTE,4
CAISSE POPULAIRE HAUT-MADAWASKA LTEE,4
YOUR NEIGHBOURHOOD CREDIT UNION LTD,4
NELSON & DISTRICT CREDIT UNION,4
STRATHCLAIR CREDIT UNION LIMITED,4
ACCENT CREDIT UNION,4
BIGGAR & DISTRICT CREDIT UNION LTD.,3
C.P. ST CHARLES DE BORROMEE LTEE,3
NIVERVILLE CREDIT UNION,3
C.P. D'ALBAN LTEE,3
STEINBACH CREDIT UNION LIMITED,3
CAISSE POPULAIRE DE LA PENINSULE LTE,3
CAISSE POPULAIRE DES FONDATEURS LTEE,3
UKRAINIAN CREDIT UNION LIMITED,3
PENFINANCIAL CREDIT UNION LIMITED,3
VERMILION CREDIT UNION LIMITED,3
BOW VALLEY CREDIT UNION,3
VANCITY CAPITAL CORPORATION,3
C.P. DE VERNER LTEE,3
CAISSE POPULAIRE MADAWASKA LTEE,3
EDSON SAVINGS & CREDIT UNION LTD,3
C.P. DE STE-MADELEINE,3
COMMUNITY CR UN CUMBERLANDCOLCHESTER,3
CAISSE POPULAIRE SUD-EST LTEE,3
PRAIRIE PRIDE CREDIT UNION,3
MOYA FINANCIAL CREDIT UNION LIMITED,3
ADVANCE SAVINGS CREDIT UNION,3
